"","X.1","X","name","address","city","state","zip","Zip.Plus","Contact.First.Name","Contact.Last.Name","contact","Phone","Business.Description","Primary.NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business.Type","County","Employee","Annual.Sales","URL","Year.Established","address_new","url","type","latitude","longitude"
"11",11,11,"Albemarle Family YMCA","1240 N Road St","Elizabeth City","NC",27909,3336,"Jamie","Koch","Director",2523349622,"Youth Organizations & Centers",624110,713940,624190,NA,NA,"Private","Pasquotank",75,3676000,"ymcashr.org",2003,"1240 N Road St Elizabeth City NC 27909","https://www.ymcashr.org","YMCA",36.327138751899,-76.223943292734
"12",12,12,"Alex W Spears III YMCA","3216 Horse Pen Creek Rd","Greensboro","NC",27410,9405,"Joe","Hennigan","Exec Director",3362882473,"Youth Organizations & Centers",624110,713940,624190,624190,624410,"Private","Guilford",76,4256000,"ymcagreensboro.org",2003,"3216 Horse Pen Creek Rd Greensboro NC 27410","https://www.ymcagreensboro.org","YMCA",36.147056123632,-79.882137823033
"13",13,13,"Alexander Youth Network","7670 N Point Ct","Winston Salem","NC",27106,3336,"Robert","Beasley","President",3367241412,"Youth Organizations & Centers",624110,813319,NA,NA,NA,"Private","Forsyth",50,2332000,"alexanderyouthnetwork.org",1995,"7670 N Point Ct Winston Salem NC 27106","https://www.alexanderyouthnetwork.org","Other",36.151046653912,-80.286091329164
"14",14,14,"Amikids","3351 Carl Sandburg Ct","Raleigh","NC",27610,2047,"Jean-Ne","Owoh","Other",8138873300,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Wake",38,2481000,"amikids.org",2021,"3351 Carl Sandburg Ct Raleigh NC 27610","https://www.amikids.org","Other",35.780243910284,-78.581343353362
"15",15,15,"Anns Roman Catholic Chr Bingo","207 N Broad St","Edenton","NC",27932,1924,NA,NA,NA,8280001111,"Youth Organizations & Centers",624110,813319,NA,NA,NA,"Private","Chowan",11,221000,NA,2023,"207 N Broad St Edenton NC 27932","","Faith",36.062047150967,-76.607960833534
"16",16,16,"Anomnitech Youth Empowerment","3415 Whichard Rd","Greenville","NC",27834,737,"Charles","Pace","CEO",2520001111,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Pitt",2,115000,NA,2014,"3415 Whichard Rd Greenville NC 27834","","Other",35.632468526163,-77.325718822745
"17",17,17,"Another Choice For Black Child","3028 Beatties Ford Rd","Charlotte","NC",28216,4267,"Terrence","Hawkins","Manager",7040001111,"Youth Organizations & Centers",624110,813319,999990,NA,NA,"Private","Mecklenburg",4,185000,"acfbc.org",2021,"3028 Beatties Ford Rd Charlotte NC 28216","https://www.acfbc.org","Other",35.275484684324,-80.854859508279
"18",18,19,"Anything For Our Youth","250 Fairview Dr","Lexington","NC",27292,4018,"Tina","Royal","Manager",3360001111,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Davidson",2,138000,"anythingforouryouthgroup.org",2019,"250 Fairview Dr Lexington NC 27292","https://www.anythingforouryouthgroup.org","Other",35.816500395225,-80.250328539531
"19",19,20,"Armed Services YMCA Natl Hq","439 Westwood Shopping Ctr","Fayetteville","NC",28314,1532,"Rachel","Anderson","Manager",9100001111,"Youth Organizations & Centers",624110,813319,NA,NA,NA,"Private","Cumberland",17,1468000,NA,2021,"439 Westwood Shopping Ctr Fayetteville NC 28314","","YMCA",35.066873835445,-78.952915125057
"20",20,21,"Armed Services YMCA of the USA","208 Thorncliff Dr","Fayetteville","NC",28303,5259,NA,NA,NA,8084733398,"Youth Organizations & Centers",624110,624190,NA,NA,NA,"Private","Cumberland",4,327000,"asymca.org",2019,"208 Thorncliff Dr Fayetteville NC 28303","https://www.asymca.org","YMCA",35.061663395969,-78.931088705625
"21",21,22,"Asheville YMCA","30 Woodfin St","Asheville","NC",28801,3076,"Jennifer","Murphy","Exec Director",8282109622,"Youth Organizations & Centers",624110,713940,624190,624190,624410,"Private","Buncombe",65,4562000,"ymcawnc.org",1995,"30 Woodfin St Asheville NC 28801","https://www.ymcawnc.org","YMCA",35.598730606263,-82.550117421005
"22",22,24,"Athletes Mentoring Our Youth","3410 Snowberry Dr","Raleigh","NC",27610,6870,"Thomas W","Carr","Manager",9190001111,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Wake",27,1763000,NA,2021,"3410 Snowberry Dr Raleigh NC 27610","","Sports",35.736035685809,-78.615612775142
"23",23,26,"B Music Youth LLC","3020 Prosperity Church Rd # 43","Charlotte","NC",28269,7197,"Britannia","Borders","Owner",7040001111,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Mecklenburg",8,494000,NA,2016,"3020 Prosperity Church Rd # 43 Charlotte NC 28269","","Other",35.341863516076,-80.767986906951
"24",24,27,"Ballanmoor Youth Sports","18428 Lilliesleaf Glenn Ln","Charlotte","NC",28277,4179,"Raymond S","Smith","Manager",7040001111,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Mecklenburg",6,370000,NA,2019,"18428 Lilliesleaf Glenn Ln Charlotte NC 28277","","Sports",35.029202256588,-80.821168847259
"25",25,29,"Barium Springs Home For Child","156 Frazier Loop","Statesville","NC",28677,6238,"John","Koppelmeyer","President",7049247140,"Youth Organizations & Centers",624110,624190,623990,813319,813410,"Private","Iredell",250,14014000,"childrenshopealliance.org",2017,"156 Frazier Loop Statesville NC 28677","https://www.childrenshopealliance.org","Other",35.723993010824,-80.895647719209
"26",26,30,"Barringer's Inc","1600 S Main St","Laurinburg","NC",28352,5406,"Donald R","Barringer","President",9100001111,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Scotland",17,404000,NA,2016,"1600 S Main St Laurinburg NC 28352","","Other",34.757147173859,-79.473130960204
"27",27,31,"Be Heroic Youth Empowerment","6316 Old Coach Rd","Charlotte","NC",28215,1516,"Devyn N","Massey","Manager",7040001111,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Mecklenburg",6,370000,NA,2019,"6316 Old Coach Rd Charlotte NC 28215","","Other",35.259098783491,-80.757533437918
"28",28,32,"Benjamins Youth Life Empwrmnt","4110 M L King Jr Blvd # E","New Bern","NC",28562,2270,"Kimberly R","Mclntyre","Owner",2520001111,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Craven",3,245000,NA,2016,"4110 M L King Jr Blvd # E New Bern NC 28562","","Other",35.095023114241,-77.121225336369
"29",29,33,"Benton's Youth Initiatives","1703 Long Paw Ln","Charlotte","NC",28214,8001,"James","Benton","Owner",7040001111,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Mecklenburg",4,247000,"bentonyouthinitiative.com",2016,"1703 Long Paw Ln Charlotte NC 28214","https://www.bentonyouthinitiative.com","Other",35.295712830998,-80.961113957442
"30",30,34,"Bertiecounty YMCA","1102 N King St","Windsor","NC",27983,6831,"Heidi","Bonislawski","Exec Director",2527949622,"Youth Organizations & Centers",624110,713940,624190,624190,813319,"Private","Bertie",7,211000,"ymca.net",1997,"1102 N King St Windsor NC 27983","https://www.ymca.net","YMCA",36.007040705632,-76.953346066422
"31",31,36,"Better Days Ministries","7910 Pinebuff Ct","Fayetteville","NC",28311,9382,NA,NA,NA,9100001111,"Youth Organizations & Centers",624110,813110,999990,NA,NA,"Private","Cumberland",2,109000,"dranniemford.com",2015,"7910 Pinebuff Ct Fayetteville NC 28311","https://www.dranniemford.com","Faith",35.225938304146,-78.867996878119
"32",32,37,"Black Jelly Bean Youth","1320 US Highway 13 N","Gates","NC",27937,9447,"Robert M","Pari","Manager",2520001111,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Gates",3,229000,NA,2020,"1320 US Highway 13 N Gates NC 27937","","Other",36.528971258043,-76.778907284569
"33",33,38,"Black Mountain YMCA","25 Jane Jacobs Rd","Black Mountain","NC",28711,9316,NA,NA,NA,8285523620,"Youth Organizations & Centers",624110,624190,NA,NA,NA,"Private","Buncombe",4,281000,"ymcawnc.org",2020,"25 Jane Jacobs Rd Black Mountain NC 28711","https://www.ymcawnc.org","YMCA",35.60143559095,-82.317511420084
"34",34,39,"Black Youth Network Inc","327 N Queen St # 111","Kinston","NC",28501,4986,"Christopher","Suggs","Manager",2520001111,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Lenoir",3,141000,NA,2017,"327 N Queen St # 111 Kinston NC 28501","","Other",35.262774932181,-77.581026865692
"35",35,40,"Blue Ribbon Commn Prevention","507 Mcrae St","Wilmington","NC",28401,3645,NA,NA,NA,9100001111,"Youth Organizations & Centers",624110,813319,813110,NA,NA,"Private","New Hanover",29,1747000,NA,2021,"507 Mcrae St Wilmington NC 28401","","Other",34.241875215548,-77.939915719067
"36",36,41,"Blue State Wellness & Recovery","1930 Legacy Park","Winston Salem","NC",27103,5838,"Brandon","Williams","Manager",3360001111,"Youth Organizations & Centers",624110,621999,999990,NA,NA,"Private","Forsyth",2,94000,NA,2016,"1930 Legacy Park Winston Salem NC 27103","","Other",36.059147662605,-80.278693284467
"37",37,42,"Book Harvest","2501 University Dr","Durham","NC",27707,2159,"Caitlyn","Bergmann","Manager",2524972665,"Youth Organizations & Centers",624110,459210,813319,999990,NA,"Private","Durham",8,386000,"bookharvest.org",2011,"2501 University Dr Durham NC 27707","https://www.bookharvest.org","Other",35.975054620943,-78.923134971148
"38",38,43,"Boomerang Youth Inc","825 N Estes Dr","Chapel Hill","NC",27514,2403,"Tamara A","Pfeifer","Owner",9199682146,"Youth Organizations & Centers",624110,813319,813410,999990,NA,"Private","Orange",3,156000,NA,2015,"825 N Estes Dr Chapel Hill NC 27514","","Other",35.935128747963,-79.052767921881
"39",39,44,"Boy Scout Troop 48","The Lodge 7557 Ruben Linker Rd","Concord","NC",28027,NA,NA,NA,NA,7047379194,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Cabarrus",4,275000,"troop48nc.com",2018,"The Lodge 7557 Ruben Linker Rd Concord NC 28027","https://www.troop48nc.com","Scouts",35.38217848392,-80.704024666604
"40",40,45,"Boy Scouts of America","4711 Hope Valley Rd # 1J","Durham","NC",27707,5732,"Steve","Nielson","Other",9725802000,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Durham",9,482000,NA,2015,"4711 Hope Valley Rd # 1J Durham NC 27707","","Scouts",35.922237193857,-78.957172456125
"41",41,46,"Boy Scouts of America","14740 Stumptown Rd","Huntersville","NC",28078,9569,"Michael","Malyszko","Other",7046082290,"Youth Organizations & Centers",624110,721214,813910,NA,NA,"Private","Mecklenburg",27,1665000,"boyscouttroop97.org",2015,"14740 Stumptown Rd Huntersville NC 28078","https://www.boyscouttroop97.org","Scouts",35.42062515219,-80.866596964899
"42",42,47,"Boy Scouts of America","122 E Franklin Blvd","Gastonia","NC",28052,NA,"Cathy","Keiger","Manager",7048544062,"Youth Organizations & Centers",624110,721214,813910,NA,NA,"Private","Gaston",3,195000,"scouting.org",1970,"122 E Franklin Blvd Gastonia NC 28052","https://www.scouting.org","Scouts",35.262268622425,-81.181486102923
"43",43,48,"Boy Scouts of America","1308 Jessup Grove Church Rd","Pilot Mountain","NC",27041,NA,NA,NA,NA,3363516859,"Youth Organizations & Centers",624110,721214,813910,NA,NA,"Private","Stokes",6,240000,"scouting.org",2001,"1308 Jessup Grove Church Rd Pilot Mountain NC 27041","https://www.scouting.org","Scouts",36.431901098587,-80.484498076695
"44",44,49,"Boy Scouts of America","6600 Silas Creek Pkwy","Winston Salem","NC",27106,5058,"David","Haymore","Director",3367687205,"Youth Organizations & Centers",624110,721214,624110,624190,813319,"Private","Forsyth",20,933000,"oldhickorycouncil.org",2008,"6600 Silas Creek Pkwy Winston Salem NC 27106","https://www.oldhickorycouncil.org","Scouts",36.147407541063,-80.288617812108
"45",45,50,"Boy Scouts of America","333 W Haywood St","Asheville","NC",28801,3155,"Joshua","Christ","CEO",8282546189,"Youth Organizations & Centers",624110,721214,813319,813410,NA,"Private","Buncombe",13,913000,"danielboonecouncil.org",1995,"333 W Haywood St Asheville NC 28801","https://www.danielboonecouncil.org","Scouts",35.591124429141,-82.564773030413
"46",46,51,"Boy Scouts of America","383 Vein Mountain Rd","Nebo","NC",28761,6802,"Carl","Curnutte","Manager",8286528592,"Youth Organizations & Centers",624110,721211,813910,NA,NA,"Private","McDowell",49,3618000,"mycampgrimes.org",1993,"383 Vein Mountain Rd Nebo NC 28761","https://www.mycampgrimes.org","Scouts",35.59764448648,-81.87558889284
"47",47,52,"Boy Scouts of America","309 Casar Belwood Rd","Lawndale","NC",28090,9299,"Rodney","Willis","Manager",7045383476,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Cleveland",4,112000,"scouting.org",2010,"309 Casar Belwood Rd Lawndale NC 28090","https://www.scouting.org","Scouts",35.47948950423,-81.547146191378
"48",48,53,"Boy Scouts of America","3231 Atlantic Ave","Raleigh","NC",27604,1639,"Linda","Grady","Manager",9198724884,"Youth Organizations & Centers",624110,721214,813319,813910,813410,"Private","Wake",30,1959000,"scouting.org",1995,"3231 Atlantic Ave Raleigh NC 27604","https://www.scouting.org","Scouts",35.828617294806,-78.603884216926
"49",49,55,"Boy Scouts of America","110 Longstreet Dr","Wilmington","NC",28412,1708,"Matthew","Bull","Director",9103502976,"Youth Organizations & Centers",624110,721214,813910,NA,NA,"Private","New Hanover",15,904000,"capefearcouncilbsa.org",1990,"110 Longstreet Dr Wilmington NC 28412","https://www.capefearcouncilbsa.org","Scouts",34.195394480635,-77.90547713185
"50",50,56,"Boy Scouts of America","313 Boy Scout Blvd","Kinston","NC",28501,1605,"Jon","Brown","Executive",2525221521,"Youth Organizations & Centers",624110,721214,813319,813910,813410,"Private","Lenoir",19,887000,"eccbsa.org",1984,"313 Boy Scout Blvd Kinston NC 28501","https://www.eccbsa.org","Scouts",35.288074889853,-77.588575296186
"51",51,58,"Boy Scouts of America","44184 Cannon Rd","New London","NC",28127,9589,"Red","Holscher","Manager",7044223025,"Youth Organizations & Centers",624110,721214,813910,NA,NA,"Private","Stanly",1,33000,"scouting.org",1984,"44184 Cannon Rd New London NC 28127","https://www.scouting.org","Scouts",35.449652752201,-80.133622110653
"52",52,59,"Boy Scouts of America","1222 E Franklin Blvd","Gastonia","NC",28054,4245,"Connie","Bowes","Exec Director",9808888649,"Youth Organizations & Centers",624110,721214,813319,813910,813410,"Private","Gaston",25,1622000,"piedmontcouncilbsa.org",2002,"1222 E Franklin Blvd Gastonia NC 28054","https://www.piedmontcouncilbsa.org","Scouts",35.262500418486,-81.16069184861
"53",53,60,"Boy Scouts of America","1410 E 7th St","Charlotte","NC",28204,2488,"Ken","May","Director",7043335471,"Youth Organizations & Centers",624110,721214,813319,813910,813410,"Private","Mecklenburg",25,1541000,"mccscouting.org",1984,"1410 E 7th St Charlotte NC 28204","https://www.mccscouting.org","Scouts",35.218279986192,-80.825841878787
"54",54,61,"Boy Scouts-Amer Licensing Prgm","2109 Westinghouse Blvd","Charlotte","NC",28273,6310,NA,NA,NA,8003230732,"Youth Organizations & Centers",624110,561499,NA,NA,NA,"Private","Mecklenburg",31,1911000,"licensingbsa.org",2015,"2109 Westinghouse Blvd Charlotte NC 28273","https://www.licensingbsa.org","Scouts",35.129293097126,-80.940178480656
"55",55,62,"Boy Scouts-Amer-Cherokee Camp","3296 Boy Scout Camp Rd","Yanceyville","NC",27379,9150,NA,NA,NA,3366946440,"Youth Organizations & Centers",624110,721214,813910,813410,NA,"Private","Caswell",40,744000,"csr.camp",2001,"3296 Boy Scout Camp Rd Yanceyville NC 27379","https://www.csr.camp","Scouts",36.35493561891,-79.373719439592
"56",56,63,"Boys & Girls Club of America","1018 Rochester Dr","Fayetteville","NC",28305,5548,"Jimia","Brantley","Manager",9104836504,"Youth Organizations & Centers",624110,813410,NA,NA,NA,"Private","Cumberland",15,816000,"ccbgc.org",2011,"1018 Rochester Dr Fayetteville NC 28305","https://www.ccbgc.org","Clubs",35.04491130612,-78.901071953298
"57",57,64,"Boys & Girls Club of America","750 3rd Avenue Pl SE","Hickory","NC",28602,4115,"John","Demorrow","Director",8283223066,"Youth Organizations & Centers",624110,813410,NA,NA,NA,"Private","Catawba",7,457000,"bgca.org",2011,"750 3rd Avenue Pl SE Hickory NC 28602","https://www.bgca.org","Clubs",35.726647534967,-81.324143061424
"58",58,65,"Boys & Girls Club of America","614 Middle School Rd","Snow Hill","NC",28580,7688,NA,NA,NA,2527478191,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Greene",11,389000,"bgclubs.org",2015,"614 Middle School Rd Snow Hill NC 28580","https://www.bgclubs.org","Clubs",35.491340243269,-77.667133583022
"59",59,66,"Boys & Girls Club of America","701 N Raleigh Blvd","Raleigh","NC",27610,1692,"Ralph","Capps","CEO",9198346282,"Youth Organizations & Centers",624110,813410,NA,NA,NA,"Private","Wake",75,4897000,"bgca.org",1992,"701 N Raleigh Blvd Raleigh NC 27610","https://www.bgca.org","Clubs",35.789195957603,-78.613415594852
"60",60,67,"Boys & Girls Club of America","1900 Fern Ave # B","High Point","NC",27260,6222,"Grace","Thompson","Director",3368844318,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Guilford",7,392000,"bgca.org",2000,"1900 Fern Ave # B High Point NC 27260","https://www.bgca.org","Clubs",35.959998440873,-79.982009710278
"61",61,68,"Boys & Girls Club of America","401 Taylor Ave","High Point","NC",27260,7467,"Kenneth","Mack","Manager",3368893446,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Guilford",5,280000,"bgca.org/pages/index.aspx",2000,"401 Taylor Ave High Point NC 27260","https://www.bgca.org/pages/index.aspx","Clubs",35.948388033439,-80.008349284281
"62",62,69,"Boys & Girls Club of America","405 Raleigh Rd","Rocky Mount","NC",27803,2726,"Daniel","Simmons","CEO",2529772562,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Nash",10,406000,"bgca.org",2004,"405 Raleigh Rd Rocky Mount NC 27803","https://www.bgca.org","Clubs",35.935603397038,-77.802743933511
"63",63,70,"Boys & Girls Club of America","11 Gallimore Rd","Brevard","NC",28712,9591,"Tamika","Hunter","Director",8288857800,"Youth Organizations & Centers",624110,813410,NA,NA,NA,"Private","Transylvania",1,36000,"bgctransylvania.org",2005,"11 Gallimore Rd Brevard NC 28712","https://www.bgctransylvania.org","Clubs",35.225242033733,-82.726470895248
"64",64,71,"Boys & Girls Club of America","2600 N Pine St","Charlotte","NC",28206,2663,NA,NA,NA,7042950977,"Youth Organizations & Centers",624110,813311,813410,NA,NA,"Private","Mecklenburg",26,1603000,"salvationarmycarolinas.org",2005,"2600 N Pine St Charlotte NC 28206","https://www.salvationarmycarolinas.org","Clubs",35.250099858189,-80.819196826921
"65",65,72,"Boys & Girls Club of America","1720 Vilma St","Charlotte","NC",28208,6828,"Cedric","Cook","Manager",7042950207,"Youth Organizations & Centers",624110,459510,813410,NA,NA,"Private","Mecklenburg",4,247000,NA,2005,"1720 Vilma St Charlotte NC 28208","","Clubs",35.21003793168,-80.917139292996
"66",66,73,"Boys & Girls Club of America","1222 Eastchester Dr # 100","High Point","NC",27265,2958,"Floyd","Johnson","President",3368822582,"Youth Organizations & Centers",624110,813319,813410,813410,813410,"Private","Guilford",10,560000,"bgclubs.org",2000,"1222 Eastchester Dr # 100 High Point NC 27265","https://www.bgclubs.org","Clubs",35.995024456108,-79.996292816752
"67",67,74,"Boys & Girls Club of America","2901 Milton Rd","Charlotte","NC",28215,3540,"Tonya","Lewis","Exec Director",7045684636,"Youth Organizations & Centers",624110,813110,NA,NA,NA,"Private","Mecklenburg",5,309000,"bgca.org",1992,"2901 Milton Rd Charlotte NC 28215","https://www.bgca.org","Clubs",35.237345417632,-80.741608138067
"68",68,75,"Boys & Girls Club of America","1619 W Ward Ave","High Point","NC",27260,1535,"Holly","Ferree","Vice President",3368868219,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Guilford",17,952000,"bgclubs.org",2006,"1619 W Ward Ave High Point NC 27260","https://www.bgclubs.org","Clubs",35.937867461595,-80.024534960508
"69",69,76,"Boys & Girls Club of America","3066 Blue Springs Rd","Red Springs","NC",28377,8568,"Ashley","Butler","Director",9108780000,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Hoke",4,106000,"bgca.org",2011,"3066 Blue Springs Rd Red Springs NC 28377","https://www.bgca.org","Clubs",34.91485774531,-79.260226242878
"70",70,77,"Boys & Girls Club of America","1861 Cedrow Dr","High Point","NC",27260,NA,"Danny","Mcdonald","Exec Director",3364543756,"Youth Organizations & Centers",624110,713940,813319,813410,NA,"Private","Guilford",5,280000,"bgca.org/pages/index.aspx",2011,"1861 Cedrow Dr High Point NC 27260","https://www.bgca.org/pages/index.aspx","Clubs",35.979460116987,-79.956793792886
"71",71,78,"Boys & Girls Club of America","609 N Pollock St","Selma","NC",27576,2206,NA,NA,NA,9199655240,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Johnston",8,1267000,"bgca.org/pages/index.aspx",2007,"609 N Pollock St Selma NC 27576","https://www.bgca.org/pages/index.aspx","Clubs",35.540913413373,-78.280780426591
"72",72,79,"Boys & Girls Club of Eden","1026 Harris St","Eden","NC",27288,6303,"Amy","Nalley","Exec Director",3366277960,"Youth Organizations & Centers",624110,813319,813410,999990,NA,"Private","Rockingham",4,135000,"bgceden.com",2012,"1026 Harris St Eden NC 27288","https://www.bgceden.com","Clubs",36.48442898669,-79.774242927547
"73",73,80,"Boys & Girls Club of Gaston","310 S Boyd St","Gastonia","NC",28052,4184,"Chad","Melvin","CEO",7048109524,"Youth Organizations & Centers",624110,813319,813410,NA,NA,"Private","Gaston",12,779000,"bgcgreatergaston.org",1947,"310 S Boyd St Gastonia NC 28052","https://www.bgcgreatergaston.org","Clubs",35.259612623096,-81.205798029617
"74",74,81,"Boys & Girls Club of Lumberton","1310 N Seneca St","Lumberton","NC",28358,4173,"Ron","Ross","Exec Director",9107388474,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Robeson",2,77000,"bgclubs.org",1997,"1310 N Seneca St Lumberton NC 28358","https://www.bgclubs.org","Clubs",34.626098698053,-78.997815211789
"75",75,82,"Boys & Girls Club of Raleigh","605 N Raleigh Blvd","Raleigh","NC",27610,NA,"Durell","Petway","Director",9198346281,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Wake",10,653000,"bgca.org",1984,"605 N Raleigh Blvd Raleigh NC 27610","https://www.bgca.org","Clubs",35.787999089607,-78.613578115937
"76",76,83,"Boys & Girls Club-Brentwood","2025 New Hope Church Rd","Raleigh","NC",27604,1656,"Christopher","Burwell","Director",9197908310,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Wake",10,653000,"bgclubs.org",2011,"2025 New Hope Church Rd Raleigh NC 27604","https://www.bgclubs.org","Clubs",35.834594043777,-78.604490498757
"77",77,84,"Boys & Girls Club-Central","221 Cliff Rd","Asheboro","NC",27203,5801,"Caleb","Hughes","Director",3366255550,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Randolph",4,151000,"hpclubs.org",2002,"221 Cliff Rd Asheboro NC 27203","https://www.hpclubs.org","Clubs",35.703163282302,-79.807155751997
"78",78,85,"Boys & Girls Club-Cumberland","3475 Cumberland Rd","Fayetteville","NC",28306,2431,"Don","Williams","Manager",9104842639,"Youth Organizations & Centers",624110,813319,813410,813410,999990,"Private","Cumberland",15,816000,"bgca.org/pages/index.aspx",2010,"3475 Cumberland Rd Fayetteville NC 28306","https://www.bgca.org/pages/index.aspx","Clubs",35.014951259468,-78.932140167718
"79",79,87,"Boys & Girls Club-Nash/Edge","301 S Church St # 290","Rocky Mount","NC",27804,5753,"Ron","Green","CEO",2529779924,"Youth Organizations & Centers",624110,813319,NA,NA,NA,"Private","Nash",25,1015000,NA,2010,"301 S Church St # 290 Rocky Mount NC 27804","","Clubs",35.940124139138,-77.797991989922
"80",80,88,"Boys & Girls Club-Sand Hills","160 Memorial Park Ct","Southern Pines","NC",28387,5924,"Steve","Kastner","CEO",9106920777,"Youth Organizations & Centers",624110,813319,999990,NA,NA,"Private","Moore",14,2027000,"sandhillsbgc.org",1999,"160 Memorial Park Ct Southern Pines NC 28387","https://www.sandhillsbgc.org","Clubs",35.170014338182,-79.403970606607
